event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
4454a95a5c9507b45d31ac13,us_cpi,2015-06,2015-07-06T13:30:00Z,238.638,,missing
7f631d0fbab6196b4529c466,us_cpi,2015-05,2015-06-05T13:30:00Z,237.805,,missing
e756e139fef24d9f906da543,us_cpi,2015-04,2015-05-04T13:30:00Z,236.599,,missing
5e68ac906e04e706c82569ce,us_cpi,2015-03,2015-04-03T13:30:00Z,236.119,,missing
6e7ecdc59ce135097ab96d03,us_cpi,2015-02,2015-03-02T13:30:00Z,234.722,,missing
a9dc8ee0b06ebf5827e38555,us_cpi,2015-01,2015-02-01T13:30:00Z,233.707,,missing
7c223944c93bf9c9bb585e0d,us_cpi,2014-12,2015-01-12T13:30:00Z,234.812,,missing
aa61074d7b7be9702910fd8a,us_cpi,2014-11,2014-12-11T13:30:00Z,236.151,,missing
1412a03e45d6cef5f11e98e3,us_cpi,2014-10,2014-11-10T13:30:00Z,237.433,,missing
7835a9820ff351ccd6992cee,us_cpi,2014-09,2014-10-09T13:30:00Z,238.031,,missing
1d7490002da55dc7b8970055,us_cpi,2014-08,2014-09-08T13:30:00Z,237.852,,missing
0f8e24dac2b893117d1c3f90,us_cpi,2014-07,2014-08-07T13:30:00Z,238.25,,missing
1ef1a389f6e06362262951c0,us_cpi,2014-06,2014-07-06T13:30:00Z,238.343,,missing
34fe6331fbf2c06bd6836665,us_cpi,2014-05,2014-06-05T13:30:00Z,237.9,,missing
2e46c1175cdb5d13bc42de75,us_cpi,2014-04,2014-05-04T13:30:00Z,237.072,,missing
f0ae194ea93c2fc458b8e195,us_cpi,2014-03,2014-04-03T13:30:00Z,236.293,,missing
b21f3e957e23749a08efde07,us_cpi,2014-02,2014-03-02T13:30:00Z,234.781,,missing
72c2e6e56aa821e90b8498ca,us_cpi,2014-01,2014-02-01T13:30:00Z,233.916,,missing
7412bea94a680f869b038b79,us_cpi,2013-12,2014-01-12T13:30:00Z,233.049,,missing
64a5fc72ad953f4487c3068a,us_cpi,2013-11,2013-12-11T13:30:00Z,233.069,,missing
ab56fd66bc329826b1c31b47,us_cpi,2013-10,2013-11-10T13:30:00Z,233.546,,missing
fc67f744d431e19116cf5acb,us_cpi,2013-09,2013-10-09T13:30:00Z,234.149,,missing
bb30a31c74e124d0f04addde,us_cpi,2013-08,2013-09-08T13:30:00Z,233.877,,missing
63fa832645ae82ef63ea1ccb,us_cpi,2013-07,2013-08-07T13:30:00Z,233.596,,missing
ad26f0579369254d9276e406,us_cpi,2013-06,2013-07-06T13:30:00Z,233.504,,missing
ed326182b9320e5415503123,us_cpi,2013-05,2013-06-05T13:30:00Z,232.945,,missing
5bd649112960cc7f26d0d0c6,us_cpi,2013-04,2013-05-04T13:30:00Z,232.531,,missing
96a5cf7cb94b64cf9e0b3e7f,us_cpi,2013-03,2013-04-03T13:30:00Z,232.773,,missing
822c7165004109bbb8987d28,us_cpi,2013-02,2013-03-02T13:30:00Z,232.166,,missing
d054680abf3cfd65edc07073,us_cpi,2013-01,2013-02-01T13:30:00Z,230.28,,missing
6c4c858854ae39fd5e468a97,us_cpi,2012-12,2013-01-12T13:30:00Z,229.601,,missing
3fdcd2376d56385aaec3f33c,us_cpi,2012-11,2012-12-11T13:30:00Z,230.221,,missing
1bf73eb68f980e4ab12d53aa,us_cpi,2012-10,2012-11-10T13:30:00Z,231.317,,missing
