run_time,asset,side_cn,rank,address,entity_name,position_value_usd,size_coin,liquidation_price,liquidation_distance_pct
2026-06-01 17:22:58 UTC+8,BTC,多单,1,0xebe837cd345469,Unknown Hyperliquid Whale,34746959.11,476.40341,62192.2400176636,14.7304
2026-06-01 17:22:58 UTC+8,ETH,多单,1,0x6c8512516ce566,Matrixport Related,79416000.0,40000.0,1358.1864209563,31.5913
2026-06-01 17:22:58 UTC+8,TON,多单,1,0x8def9f50456c6c,loraclexyz,3672767.91,1896894.9,0.0,0.0
2026-06-01 17:22:58 UTC+8,HYPE,空单,1,0x8def9f50456c6c,loraclexyz,53074629.93,728486.74,120.057428644,64.7873
2026-06-01 17:22:58 UTC+8,VVV,空单,1,0x8def9f50456c6c,loraclexyz,752767.44,47728.09,1060.3036228196,66.226961
2026-06-01 17:22:58 UTC+8,LIT,空单,1,0x8def9f50456c6c,loraclexyz,733856.98,635319.0,84.3808865763,72.05072
2026-06-01 17:22:58 UTC+8,HYPE,多单,1,0x082e843a431aef,Unknown HYPE Whale,100544388.04,1380042.66,52.8070303027,27.5186
2026-06-01 17:22:58 UTC+8,ASTER,多单,1,0x8def9f50456c6c,loraclexyz,2529938.38,3584396.0,0.0,0.0
2026-06-01 17:22:58 UTC+8,ZEC,多单,1,0x8def9f50456c6c,loraclexyz,4971799.01,9085.89,0.0,0.0
