event_id,event_time,event_time_china,title,source,asset_symbol,event_type,data_provider,market_type,symbol_used,asset_price_t0,asset_price_4h,asset_price_24h,btc_price_t0,btc_price_4h,btc_price_24h,eth_price_t0,eth_price_4h,eth_price_24h,asset_return_4h,asset_return_24h,btc_return_4h,btc_return_24h,eth_return_4h,eth_return_24h,abnormal_vs_btc_4h,abnormal_vs_btc_24h,abnormal_vs_eth_4h,abnormal_vs_eth_24h,status,skip_reason
watcher_fh_3f996e060ac0d4d9,2026-05-27T10:56:36Z,2026-05-27 18:56:36 UTC+8,TG sent alert: stablecoin_flow USDT amount_usd=51789849.16 severity=watch followup_proxy=BTC,tg_live_sent_state,BTC,stablecoin_flow,binance,spot,BTCUSDT,75918.69,75048.01,,75918.69,75048.01,,2080.28,2062.61,,-0.011468585667113174,,-0.011468585667113174,,-0.008494048878035731,,0.0,,-0.002974536789077442,,ok,
watcher_fh_6e3eb40815c6949e,2026-05-27T10:56:38Z,2026-05-27 18:56:38 UTC+8,TG sent alert: stablecoin_flow USDT amount_usd=97000000.00 severity=watch followup_proxy=BTC,tg_live_sent_state,BTC,stablecoin_flow,binance,spot,BTCUSDT,75918.69,75048.01,,75918.69,75048.01,,2080.28,2062.61,,-0.011468585667113174,,-0.011468585667113174,,-0.008494048878035731,,0.0,,-0.002974536789077442,,ok,
watcher_fh_3999c6261240bbe7,2026-05-27T10:56:40Z,2026-05-27 18:56:40 UTC+8,TG sent alert: cex_netflow USDT amount_usd=503257903.73 severity=critical followup_proxy=BTC,tg_live_sent_state,BTC,cex_netflow,binance,spot,BTCUSDT,75918.69,75048.01,,75918.69,75048.01,,2080.28,2062.61,,-0.011468585667113174,,-0.011468585667113174,,-0.008494048878035731,,0.0,,-0.002974536789077442,,ok,
watcher_fh_1ba14212a87373b7,2026-05-27T11:00:54Z,2026-05-27 19:00:54 UTC+8,TG sent alert: cex_netflow USDT amount_usd=65000000.00 severity=watch followup_proxy=BTC,tg_live_sent_state,BTC,cex_netflow,binance,spot,BTCUSDT,75967.93,75042.01,,75967.93,75042.01,,2082.93,2063.34,,-0.012188301037029725,,-0.012188301037029725,,-0.009405020812029097,,0.0,,-0.0027832802250006283,,ok,
watcher_fh_967a47a3345f8b4c,2026-05-27T11:00:57Z,2026-05-27 19:00:57 UTC+8,TG sent alert: liquidation ETH amount_usd=2500000.00 severity=watch,tg_live_sent_state,ETH,liquidation,binance,spot,ETHUSDT,2082.93,2063.34,,75967.93,75042.01,,2082.93,2063.34,,-0.009405020812029097,,-0.012188301037029725,,-0.009405020812029097,,0.0027832802250006283,,0.0,,ok,
watcher_fh_b55f1110424580c9,2026-05-27T11:00:59Z,2026-05-27 19:00:59 UTC+8,TG sent alert: exchange_listing OPENAI amount_usd=0 severity=watch,tg_live_sent_state,OPENAI,exchange_listing,binance,,,,,,,,,,,,,,,,,,,,,,skipped,missing_or_unsupported_symbol
watcher_fh_bb67488a9e2cf443,2026-05-28T01:25:08Z,2026-05-28 09:25:08 UTC+8,TG sent alert: stablecoin_flow USDT amount_usd=51789849.16 severity=watch followup_proxy=BTC,tg_live_sent_state,BTC,stablecoin_flow,binance,spot,BTCUSDT,74379.67,73018.01,,74379.67,73018.01,,2021.61,1978.01,,-0.01830688412572956,,-0.01830688412572956,,-0.021566968901024386,,0.0,,0.0032600847752948248,,ok,
watcher_fh_85abc075fa944556,2026-05-28T01:25:10Z,2026-05-28 09:25:10 UTC+8,TG sent alert: stablecoin_flow USDT amount_usd=97000000.00 severity=watch followup_proxy=BTC,tg_live_sent_state,BTC,stablecoin_flow,binance,spot,BTCUSDT,74379.67,73018.01,,74379.67,73018.01,,2021.61,1978.01,,-0.01830688412572956,,-0.01830688412572956,,-0.021566968901024386,,0.0,,0.0032600847752948248,,ok,
