event_type,sample_count,valid_sample_count,skipped_sample_count,failed_quality_count,warning_quality_count,avg_asset_return_1h,avg_asset_return_4h,avg_asset_return_24h,avg_asset_return_72h,avg_abnormal_vs_btc_1h,avg_abnormal_vs_btc_4h,avg_abnormal_vs_btc_24h,avg_abnormal_vs_btc_72h,avg_abnormal_vs_eth_1h,avg_abnormal_vs_eth_4h,avg_abnormal_vs_eth_24h,avg_abnormal_vs_eth_72h,median_abnormal_vs_btc_24h,median_abnormal_vs_eth_24h,win_rate_vs_btc_1h,win_rate_vs_btc_4h,win_rate_vs_btc_24h,win_rate_vs_btc_72h,win_rate_vs_eth_1h,win_rate_vs_eth_4h,win_rate_vs_eth_24h,win_rate_vs_eth_72h,best_case_title,best_case_abnormal_vs_btc_24h,worst_case_title,worst_case_abnormal_vs_btc_24h
halving,1,1,0,0,0,-0.0127176618445228,-0.0118435150224543,0.0107284540980077,0.0337406707283494,0.0,0.0,0.0,0.0,-0.0010524151048936,0.0065783999129935,0.0122816358268236,-0.0033521924999093,0.0,0.0122816358268236,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Bitcoin halving completed,0.0,Bitcoin halving completed,0.0
institutional_flow,3,3,0,0,0,0.027244850443020534,0.035138815541534196,0.0230065930381493,-0.003962865639312865,0.0224442103156068,0.02482065865032593,0.007695886115086866,0.008122642910402699,0.0168034743319035,0.010039742367289701,0.002653535428746634,-0.021045654135364102,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Solana ETF filing submitted,0.0434933896518456,SEC approves spot Ethereum ETF rule changes,-0.020405731306585
macro,1,1,0,0,0,-0.0008798733127214,-0.0025800467536385,0.004750772943217,-0.0222788628308573,0.0,0.0,0.0,0.0,-0.001180484930939,-0.0008522323124812,0.002345879997476,0.0273979094431991,0.0,0.002345879997476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CPI and Fed rate concerns pressure risk assets,0.0,CPI and Fed rate concerns pressure risk assets,0.0
network_upgrade,1,1,0,0,0,-0.005524014502738,-0.0002137192684263,-0.0201021829537511,-0.0846755741505287,-0.0040863937402468,-0.0051668281440362,-0.0156428247357159,-0.0173618676819807,0.0,0.0,0.0,0.0,-0.0156428247357159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethereum Dencun upgrade goes live,-0.0156428247357159,Ethereum Dencun upgrade goes live,-0.0156428247357159
staking_governance,1,1,0,0,0,-0.0019309989701338,0.013838825952626,0.1530638516992792,0.1403836251287331,-0.0017287511983565,0.0158518196013821,0.1342114193082435,0.1265461313319069,-0.0015522861533471,0.0150718444258848,0.1363960841232614,0.1331792743349773,0.1342114193082435,0.1363960841232614,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Chainlink staking update released,0.1342114193082435,Chainlink staking update released,0.1342114193082435
token_unlock,1,1,0,0,0,0.000625,0.001875,0.0012500000000001,-0.0516666666666666,0.005176173359753,0.0091919933809017,0.0123442554988079,0.0251243878865691,0.0017023793320821,0.0082447187638792,0.016221561197152,0.0340824128330395,0.0123442554988079,0.016221561197152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,XRP unlock alert,0.0123442554988079,XRP unlock alert,0.0123442554988079
whale_position,1,1,0,0,0,-0.0006588157786379,0.0385407230503171,0.1792802437618381,0.3456312278679074,-0.0016061707834699,0.0330059885823734,0.1804854109767725,0.2950045247827115,0.0016217226509229,0.0321616559925337,0.1816398252435147,0.3171962217493898,0.1804854109767725,0.1816398252435147,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Dogecoin whale wallet transfers DOGE,0.1804854109767725,Dogecoin whale wallet transfers DOGE,0.1804854109767725
