event_type,sample_count,valid_sample_count,skipped_sample_count,failed_quality_count,warning_quality_count,avg_asset_return_1h,avg_asset_return_4h,avg_asset_return_24h,avg_asset_return_72h,avg_abnormal_vs_btc_1h,avg_abnormal_vs_btc_4h,avg_abnormal_vs_btc_24h,avg_abnormal_vs_btc_72h,avg_abnormal_vs_eth_1h,avg_abnormal_vs_eth_4h,avg_abnormal_vs_eth_24h,avg_abnormal_vs_eth_72h,median_abnormal_vs_btc_24h,median_abnormal_vs_eth_24h,win_rate_vs_btc_1h,win_rate_vs_btc_4h,win_rate_vs_btc_24h,win_rate_vs_btc_72h,win_rate_vs_eth_1h,win_rate_vs_eth_4h,win_rate_vs_eth_24h,win_rate_vs_eth_72h,best_case_title,best_case_abnormal_vs_btc_24h,worst_case_title,worst_case_abnormal_vs_btc_24h
hack_security,10,10,0,0,0,0.0007038821878997001,0.00229551822710927,-0.00360916163361732,0.0061047186535014685,0.00067391013502986,0.0017690782843484802,-0.00337518676465718,-0.0035299147820313805,0.0008346344521184799,-0.00255442042812411,-0.00044510380512311,-0.00077154072651569,-0.00572249968402915,0.0,0.6,0.6,0.1,0.1,0.2,0.0,0.0,0.0,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,0.0036528237647432,黑客攻击Monad Echo协议，损失约7600万美元,-0.0077756563909617
halving,3,3,0,0,0,-0.002302581163096533,-0.004966671762975034,-0.0040564792440062,0.0060724453023135,0.0,0.0,0.0,0.0,0.00011401249669430594,-0.0003076298825906667,0.007668123108624834,0.0077897496540127,0.0,0.0080762836259236,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",0.0,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",0.0
institutional_flow,6,6,0,0,0,0.00019116223904463298,0.008073682706087498,0.019455164457466898,0.1384727428257689,-0.0007144124302739,0.00656530891547135,0.019450525047524748,0.129519295069696,-0.002503917770980983,0.002193191050003418,0.0213661384772753,0.13103380324317268,0.0,0.0077869756351831,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,0.0621797395553387,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) manag",-0.00756778368843
macro,94,94,0,0,0,0.0006317825716748214,0.004905435923567266,0.002216443884968982,0.04093972408918087,-3.561945149896277e-05,0.0017509647789663671,0.0008654398178435031,0.02982339687729407,-0.0010455083086932646,-0.002999450334804305,0.001786582118166748,0.030607559198148164,0.0,-0.00045158668817675,0.1276595744680851,0.19148936170212766,0.11702127659574468,0.19148936170212766,0.425531914893617,0.1595744680851064,0.425531914893617,0.4787234042553192,【知名交易员Loracle「 HYPE 空仓 TOP 1」】CBRS 空单 止盈 啦!,0.064979110189731,Ondo项目方多签钱包过去2个月向Coinbase等交易所累计转移超3.28亿枚ONDO,-0.0451498983518343
network_upgrade,2,2,0,0,0,-0.0038125665967790497,0.0052062234784436496,0.00394200425161815,0.0136105381145733,-0.0006316347279769,0.0024106657364484,0.00200147563173,0.0008838752204575,0.00065913514175095,-0.0005684524603613,0.0017895333028878,0.0011342025563331,0.00200147563173,0.0017895333028878,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,0.00400295126346,"In 2019 I sincerely questioned myself whether I wanted to continue trading crypto.

Almost all markets went down, crypto",0.0
staking_governance,3,3,0,0,0,8.497762003340003e-05,0.0014166916559442335,-0.014285345419880302,-0.001204022577418467,-0.00010319651657466669,0.0010272706179487666,-0.012606335780761702,-0.010542962716790802,-0.0006395077994519334,-0.0006171283159346999,-0.006032545158784466,-0.004533488794716733,-0.009021946283174,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TET",-0.0068701878056887,XRP price slips 2% on profit taking,-0.0219268732534224
whale_position,2,2,0,0,0,-0.010365392485456251,-0.0079141391117857,-0.03236878299203785,0.13589456016659834,-0.00561249120712725,-0.0027709367750612,-0.025591480249950147,0.13204469862181173,-0.006323943284763199,-0.00461133362712205,-0.01851703393298285,0.1384517365763214,-0.025591480249950147,-0.01851703393298285,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with",-0.0057739710234414,"仅在过去 2 个月时间里，Ondo 项目方的多签钱包就向 Coinbase 等交易所累计转移了超过 3.28 亿枚 $ONDO ($9842 万)。

地址：
https://t.co/eqO2dMOrZL
https://t.co/3c8",-0.0454089894764589
