event_type,sample_count,valid_sample_count,skipped_sample_count,failed_quality_count,warning_quality_count,avg_asset_return_1h,avg_asset_return_4h,avg_asset_return_24h,avg_asset_return_72h,avg_abnormal_vs_btc_1h,avg_abnormal_vs_btc_4h,avg_abnormal_vs_btc_24h,avg_abnormal_vs_btc_72h,avg_abnormal_vs_eth_1h,avg_abnormal_vs_eth_4h,avg_abnormal_vs_eth_24h,avg_abnormal_vs_eth_72h,median_abnormal_vs_btc_24h,median_abnormal_vs_eth_24h,win_rate_vs_btc_1h,win_rate_vs_btc_4h,win_rate_vs_btc_24h,win_rate_vs_btc_72h,win_rate_vs_eth_1h,win_rate_vs_eth_4h,win_rate_vs_eth_24h,win_rate_vs_eth_72h,best_case_title,best_case_abnormal_vs_btc_24h,worst_case_title,worst_case_abnormal_vs_btc_24h
hack_security,8,8,0,0,0,0.0023323534712746375,0.0048901312110415625,-0.002516493738175375,0.007232451195151862,0.0013805858165353625,0.0040048369554321,-0.00257885216323515,-0.0026479347524296,0.0006304712166874875,-0.0011936240384749124,-0.0002112117887461625,-0.0003546972538125625,-0.00572249968402915,0.0,0.875,0.875,0.25,0.25,0.125,0.0,0.0,0.0,Standard Chartered: $4T tokenized by 2028,0.0053453939497289,Lookonchain：过去4天内发生3起重大黑客攻击事件,-0.0062514634168007
halving,3,3,0,0,0,-0.002302581163096533,-0.004966671762975034,-0.0040564792440062,0.0060724453023135,0.0,0.0,0.0,0.0,0.00011401249669430594,-0.0003076298825906667,0.007668123108624834,0.0077897496540127,0.0,0.0080762836259236,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",0.0,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",0.0
institutional_flow,3,3,0,0,0,-0.00045527419706456663,-0.0018543105417104667,-0.0029237995192452335,0.007550583940806866,0.0,0.0,0.0,0.0,-0.0007988803644846,-0.0030273899008680335,0.0050728264418029995,0.0045646033523327,0.0,0.0065848768648274,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,Leopold Aschenbrenner bets $13.6b on miners,0.0,Leopold Aschenbrenner bets $13.6b on miners,0.0
macro,10,10,0,0,0,0.0022014791877238995,0.006222923716262011,0.0014690333808686099,0.01320509885561561,0.00023879856821982002,0.00142422649402535,-0.00149711845512595,0.00118719643297461,-0.0001646650460635231,-0.003973981018822339,-0.00245551868908591,-0.0003380365555953397,0.0,-0.0022343101619204,0.2,0.3,0.1,0.2,0.5,0.0,0.2,0.3,Ethereum's Vitalik Buterin Explains How AI Could Make Smart Contracts Truly Secure,0.0034980916151878,Crude Oil Prices: Brent and WTI Rise as Markets Respond to Trump-Xi Trade Talks,-0.0136653895748045
network_upgrade,3,3,0,0,0,-0.0025559024008556183,0.002607653579403633,0.0025615458447398333,0.011959206109731732,-0.00042108981865126666,0.0016071104909656,0.00133431708782,0.0005892501469716666,0.0008401808546851667,-0.0002640368665720333,0.0037831732713066,0.0036354092398795668,0.0,0.0035790666057756,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,0.00400295126346,"In 2019 I sincerely questioned myself whether I wanted to continue trading crypto.

Almost all markets went down, crypto",0.0
other,5,5,0,0,0,-0.0012425558719465998,0.00765394254294566,0.00515753769767068,0.017621672441407117,-0.00162321977815284,0.00234800904393042,0.00034800412372296,0.0065477523729042,-0.00126889342743402,-0.00169075767588436,-0.00322773919188202,0.00322904354260976,0.0,-0.0039515501883133,0.0,0.6,0.4,0.6,0.0,0.0,0.0,0.4,"🚨MORE ETHEREUM FOUNDATION RESEARCHERS RESIGN

Ethereum Foundation researchers Carl Beek and Julian Ma have resigned, add",0.001793776445879,"🔥 UPDATE: Solana’s RWA market just crossed $2.8B, a new all-time high. https://t.co/cUH5EbjwVi",-0.001069699628714
staking_governance,2,2,0,0,0,0.0005585938281962,0.00075980072312025,-0.009212741849012801,0.0029004402303010497,-0.00037463436565815,0.0006134274548582999,-0.007946067044431349,-0.0074558799178472,0.0,0.0,0.0,0.0,-0.007946067044431349,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TET",-0.0068701878056887,以太坊质押比例上升至31%，长期持有者信心依旧,-0.009021946283174
token_unlock,3,3,0,0,0,-0.0013404078047558,-0.0031317107950763665,-0.011621256676026433,0.0011461937258882334,0.00014655972719743334,0.0006183189813765667,-0.0073089577511408,-0.005572376104892667,0.00035858700727093326,-0.0006752274211699589,4.539442017600347e-06,0.0014007707913456999,0.0,0.0087432274178361,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,美国司法部：俄亥俄州居民因加密庞氏骗局被判9年监禁,0.0,XRP price slips 2% on profit taking,-0.0219268732534224
