generated_at_china,asset_symbol,binance_futures_symbol,funding_samples,funding_latest_time_china,funding_latest_rate,funding_abs_percentile_90d,funding_label,oi_samples,oi_latest_time_china,oi_latest_value_usd,oi_24h_change_pct,oi_24h_abs_change_percentile_90d,oi_level_percentile_90d,oi_label,quality_status,skip_reason
2026-05-29 12:32:44 UTC+8,BTC,BTCUSDT,270,2026-05-29 08:00:00 UTC+8,0.00010000,98.9,极端,180,2026-05-29 12:00:00 UTC+8,7767338942.36,3.1240,66.1,22.8,中性,ok,
2026-05-29 12:32:45 UTC+8,ETH,ETHUSDT,270,2026-05-29 08:00:00 UTC+8,0.00008553,89.6,偏高,180,2026-05-29 12:00:00 UTC+8,4600624443.41,-1.7366,48.3,24.4,中性,ok,
2026-05-29 12:32:45 UTC+8,SOL,SOLUSDT,270,2026-05-29 08:00:00 UTC+8,0.00004219,35.6,中性,180,2026-05-29 12:00:00 UTC+8,778935895.47,-0.7271,19.0,1.1,偏低,ok,
2026-05-29 12:32:45 UTC+8,BNB,BNBUSDT,270,2026-05-29 08:00:00 UTC+8,0.00007032,90.7,偏高,180,2026-05-29 12:00:00 UTC+8,370147054.03,-0.9895,27.0,33.9,中性,ok,
2026-05-29 12:32:45 UTC+8,XRP,XRPUSDT,270,2026-05-29 08:00:00 UTC+8,0.00001263,13.3,偏低,180,2026-05-29 12:00:00 UTC+8,402862979.80,-1.9339,56.3,40.6,中性,ok,
2026-05-29 12:32:46 UTC+8,DOGE,DOGEUSDT,270,2026-05-29 08:00:00 UTC+8,0.00010000,92.6,偏高,180,2026-05-29 12:00:00 UTC+8,219712525.56,-1.1805,17.2,0.0,偏低,ok,
2026-05-29 12:32:46 UTC+8,HYPE,HYPEUSDT,540,2026-05-29 12:00:00 UTC+8,0.00005000,86.3,偏高,180,2026-05-29 12:00:00 UTC+8,438628715.43,2.3370,21.3,93.9,偏高,ok,
