direction_hint,sample_count,valid_sample_count,skipped_sample_count,failed_quality_count,warning_quality_count,avg_asset_return_1h,avg_asset_return_4h,avg_asset_return_24h,avg_asset_return_72h,avg_abnormal_vs_btc_1h,avg_abnormal_vs_btc_4h,avg_abnormal_vs_btc_24h,avg_abnormal_vs_btc_72h,avg_abnormal_vs_eth_1h,avg_abnormal_vs_eth_4h,avg_abnormal_vs_eth_24h,avg_abnormal_vs_eth_72h,median_abnormal_vs_btc_24h,median_abnormal_vs_eth_24h,win_rate_vs_btc_1h,win_rate_vs_btc_4h,win_rate_vs_btc_24h,win_rate_vs_btc_72h,win_rate_vs_eth_1h,win_rate_vs_eth_4h,win_rate_vs_eth_24h,win_rate_vs_eth_72h,best_case_title,best_case_abnormal_vs_btc_24h,worst_case_title,worst_case_abnormal_vs_btc_24h
observe,8,8,0,0,0,0.007502898365038462,0.017894839322878324,0.04959261483287985,0.05011406122820816,0.0074889144030934,0.014769119498837137,0.04026770798682009,0.053569589645480725,0.006030869932181712,0.010384861890099987,0.04257800393466445,0.05141053132769557,0.0,0.0073137579121498,0.25,0.5,0.375,0.5,0.25,0.5,0.625,0.5,Dogecoin whale wallet transfers DOGE,0.1804854109767725,SEC approves spot Ethereum ETF rule changes,-0.020405731306585
risk,1,1,0,0,0,0.000625,0.001875,0.0012500000000001,-0.0516666666666666,0.005176173359753,0.0091919933809017,0.0123442554988079,0.0251243878865691,0.0017023793320821,0.0082447187638792,0.016221561197152,0.0340824128330395,0.0123442554988079,0.016221561197152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,XRP unlock alert,0.0123442554988079,XRP unlock alert,0.0123442554988079
