alert_id,evaluated_at_china,published_at_china,published_at_utc,asset_symbol,event_type,event_subtype,source_type,benchmark_primary,benchmark_secondary,market_type_used,symbol_used,price_t0,price_pre_1h,price_pre_4h,pre_return_1h,pre_return_4h,priced_in_flag,priced_in_reason,btc_price_t0,eth_price_t0,btc_return_14d,btc_realized_vol_7d,btc_regime_trend_14d,btc_regime_vol_7d,asset_return_1h,asset_return_4h,asset_return_24h,asset_return_72h,btc_return_1h,btc_return_4h,btc_return_24h,btc_return_72h,eth_return_1h,eth_return_4h,eth_return_24h,eth_return_72h,abnormal_primary_1h,abnormal_primary_4h,abnormal_primary_24h,abnormal_primary_72h,abnormal_secondary_1h,abnormal_secondary_4h,abnormal_secondary_24h,abnormal_secondary_72h,horizons_evaluated,horizons_pending,quality_status,skip_reason
tg_513e9703a6ec7b25,2026-06-01 13:28:25 UTC+8,2026-05-28 16:00:21 UTC+8,2026-05-28T08:00:21Z,HOME,token_unlock,token_unlock_team_large,token_unlock,BTC,ETH,spot,HOMEUSDT,0.02495,0.0245,0.02449,0.0183673469,0.0187831768,none,,73370,1992.09,-0.0799313554,0.0458042271,downtrend,low_vol,-0.0052104208,0.0617234469,0.1138276553,0.2268537074,-0.000476489,0.0017143247,0.0045217391,0.0071718686,-0.0008383155,-0.0012449237,0.0097937342,0.0168566681,-0.0047339318,0.0600091222,0.1093059162,0.2196818388,-0.0043721053,0.0629683706,0.1040339211,0.2099970393,"1h,4h,24h,72h",,ok,
tg_f6594c6fa4ff8127,2026-06-01 13:28:35 UTC+8,2026-05-28 16:00:21 UTC+8,2026-05-28T08:00:21Z,DOGE,market_structure,long_short_crowding_extreme,long_short,BTC,ETH,spot,DOGEUSDT,0.09849,0.09802,0.09788,0.0047949398,0.006232121,none,,73370,1992.09,-0.0799313554,0.0458042271,downtrend,low_vol,-0.0008122652,-0.0043659255,0.0143161742,0.0220326937,-0.000476489,0.0017143247,0.0045217391,0.0071718686,-0.0008383155,-0.0012449237,0.0097937342,0.0168566681,-0.0003357762,-0.0060802501,0.0097944351,0.0148608251,0.0000260503,-0.0031210018,0.00452244,0.0051760256,"1h,4h,24h,72h",,ok,
tg_46cfd0ce9b540ae7,2026-06-01 13:28:45 UTC+8,2026-05-28 16:00:21 UTC+8,2026-05-28T08:00:21Z,HYPE,whale_position,whale_position_static_large,hyperliquid,BTC,ETH,futures,HYPEUSDT,57.906,57.459,57.134,0.0077794601,0.0135120944,none,,73370,1992.09,-0.0799313554,0.0458042271,downtrend,low_vol,-0.0180119504,-0.0145235381,0.0895071322,0.1979932995,-0.000476489,0.0017143247,0.0045217391,0.0071718686,-0.0008383155,-0.0012449237,0.0097937342,0.0168566681,-0.0175354614,-0.0162378628,0.0849853931,0.1908214309,-0.0171736349,-0.0132786145,0.079713398,0.1811366314,"1h,4h,24h,72h",,ok,
