observed_at_utc,observed_at_china,asset_symbol,binance_futures_symbol,period,top_position_long_short_ratio,top_position_long_account,top_position_short_account,top_account_long_short_ratio,top_account_long_account,top_account_short_account,global_account_long_short_ratio,global_account_long_account,global_account_short_account,taker_buy_sell_ratio,taker_buy_volume,taker_sell_volume,crowding_bias,crowding_score,quality_status,skip_reason,raw_json
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,BTC,BTCUSDT,1h,1.3655,0.5772,0.4228,1.7263,0.6332,0.3668,1.7226,0.6327,0.3673,1.0019,1137.7620,1135.6360,多头拥挤,30.9,ok,,"{""top_position"":{""symbol"":""BTCUSDT"",""longAccount"":""0.5772"",""longShortRatio"":""1.3655"",""shortAccount"":""0.4228"",""timestamp"":1780027200000},""top_account"":{""symbol"":""BTCUSDT"",""longAccount"":""0.6332"",""longShortRatio"":""1.7263"",""shortAccount"":""0.3668"",""timestamp"":1780027200000},""global_account"":{""symbol"":""BTCUSDT"",""longAccount"":""0.6327"",""longShortRatio"":""1.7226"",""shortAccount"":""0.3673"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.0019"",""sellVol"":""1135.6360"",""buyVol"":""1137.7620"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,ETH,ETHUSDT,1h,1.4631,0.5940,0.4060,3.3764,0.7715,0.2285,2.8153,0.7379,0.2621,1.1678,32740.0770,28036.4030,多头拥挤,44.56,ok,,"{""top_position"":{""symbol"":""ETHUSDT"",""longAccount"":""0.5940"",""longShortRatio"":""1.4631"",""shortAccount"":""0.4060"",""timestamp"":1780027200000},""top_account"":{""symbol"":""ETHUSDT"",""longAccount"":""0.7715"",""longShortRatio"":""3.3764"",""shortAccount"":""0.2285"",""timestamp"":1780027200000},""global_account"":{""symbol"":""ETHUSDT"",""longAccount"":""0.7379"",""longShortRatio"":""2.8153"",""shortAccount"":""0.2621"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.1678"",""sellVol"":""28036.4030"",""buyVol"":""32740.0770"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,SOL,SOLUSDT,1h,1.8680,0.6513,0.3487,3.8286,0.7929,0.2071,3.5788,0.7816,0.2184,0.6394,167372.7600,261775.7200,多头拥挤,62.59,ok,,"{""top_position"":{""symbol"":""SOLUSDT"",""longAccount"":""0.6513"",""longShortRatio"":""1.8680"",""shortAccount"":""0.3487"",""timestamp"":1780027200000},""top_account"":{""symbol"":""SOLUSDT"",""longAccount"":""0.7929"",""longShortRatio"":""3.8286"",""shortAccount"":""0.2071"",""timestamp"":1780027200000},""global_account"":{""symbol"":""SOLUSDT"",""longAccount"":""0.7816"",""longShortRatio"":""3.5788"",""shortAccount"":""0.2184"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""0.6394"",""sellVol"":""261775.7200"",""buyVol"":""167372.7600"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,BNB,BNBUSDT,1h,1.5164,0.6026,0.3974,2.4341,0.7088,0.2912,2.5448,0.7179,0.2821,1.4058,4646.1900,3305.0800,多头拥挤,51.19,ok,,"{""top_position"":{""symbol"":""BNBUSDT"",""longAccount"":""0.6026"",""longShortRatio"":""1.5164"",""shortAccount"":""0.3974"",""timestamp"":1780027200000},""top_account"":{""symbol"":""BNBUSDT"",""longAccount"":""0.7088"",""longShortRatio"":""2.4341"",""shortAccount"":""0.2912"",""timestamp"":1780027200000},""global_account"":{""symbol"":""BNBUSDT"",""longAccount"":""0.7179"",""longShortRatio"":""2.5448"",""shortAccount"":""0.2821"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.4058"",""sellVol"":""3305.0800"",""buyVol"":""4646.1900"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,XRP,XRPUSDT,1h,1.9190,0.6574,0.3426,2.9620,0.7476,0.2524,2.6350,0.7249,0.2751,1.0319,8707579.1000,8438395.2000,多头拥挤,57.8,ok,,"{""top_position"":{""symbol"":""XRPUSDT"",""longAccount"":""0.6574"",""longShortRatio"":""1.9190"",""shortAccount"":""0.3426"",""timestamp"":1780027200000},""top_account"":{""symbol"":""XRPUSDT"",""longAccount"":""0.7476"",""longShortRatio"":""2.9620"",""shortAccount"":""0.2524"",""timestamp"":1780027200000},""global_account"":{""symbol"":""XRPUSDT"",""longAccount"":""0.7249"",""longShortRatio"":""2.6350"",""shortAccount"":""0.2751"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.0319"",""sellVol"":""8438395.2000"",""buyVol"":""8707579.1000"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,DOGE,DOGEUSDT,1h,2.1073,0.6782,0.3218,2.7764,0.7352,0.2648,2.3580,0.7022,0.2978,1.3746,41937824.0000,30510156.0000,多头拥挤,67.49,ok,,"{""top_position"":{""symbol"":""DOGEUSDT"",""longAccount"":""0.6782"",""longShortRatio"":""2.1073"",""shortAccount"":""0.3218"",""timestamp"":1780027200000},""top_account"":{""symbol"":""DOGEUSDT"",""longAccount"":""0.7352"",""longShortRatio"":""2.7764"",""shortAccount"":""0.2648"",""timestamp"":1780027200000},""global_account"":{""symbol"":""DOGEUSDT"",""longAccount"":""0.7022"",""longShortRatio"":""2.3580"",""shortAccount"":""0.2978"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.3746"",""sellVol"":""30510156.0000"",""buyVol"":""41937824.0000"",""timestamp"":1780023600000}}"
2026-05-29T04:32:26Z,2026-05-29 12:32:26 UTC+8,HYPE,HYPEUSDT,1h,1.2069,0.5469,0.4531,0.6975,0.4109,0.5891,0.7559,0.4305,0.5695,1.0492,772545.5400,736308.7700,相对均衡,14.33,ok,,"{""top_position"":{""symbol"":""HYPEUSDT"",""longAccount"":""0.5469"",""longShortRatio"":""1.2069"",""shortAccount"":""0.4531"",""timestamp"":1780027200000},""top_account"":{""symbol"":""HYPEUSDT"",""longAccount"":""0.4109"",""longShortRatio"":""0.6975"",""shortAccount"":""0.5891"",""timestamp"":1780027200000},""global_account"":{""symbol"":""HYPEUSDT"",""longAccount"":""0.4305"",""longShortRatio"":""0.7559"",""shortAccount"":""0.5695"",""timestamp"":1780027200000},""taker"":{""buySellRatio"":""1.0492"",""sellVol"":""736308.7700"",""buyVol"":""772545.5400"",""timestamp"":1780023600000}}"
